sex_f,birthregion_us,discrim2,se2,dep2
1,1,2,3.3,1.5
0,1,1.8,3.6,1
1,1,2.2,3.2,1.75
1,1,2,4,1
0,1,1.6,4,3.25
1,1,1.8,3.3,1.25
1,1,2.6,3.7,1.5
1,1,1.6,3.67,1.75
1,1,2.4,3.8,1
0,1,2.2,2.5,2
0,1,1.8,3,3.25
1,1,2.2,4,1.75
0,1,1.2,4,1
1,1,2.4,4,1.25
0,1,2.2,3.9,1.25
0,1,1.6,3.7,1
1,1,2.4,4,1.25
0,1,2.6,3.9,1.5
0,1,1.4,3.6,1.5
1,1,1.8,3.9,1
0,1,2.4,3.3,1
0,1,2,3.9,1.25
0,1,2,3.3,1.75
0,1,1.8,3.1,1.75
1,1,2,2.7,1
0,1,1.8,3.9,2
0,1,NA,3.7,1.25
0,1,2,3.7,1.25
1,1,1.8,2.4,1.75
1,1,2,3.8,1.25
1,1,2,3.8,1
0,1,2.4,3.9,2.25
0,1,2.2,3.9,1.5
0,1,1.8,2.7,1.5
0,1,2.2,3.4,1
0,1,2.2,3.6,1.25
0,1,1.6,3.9,1.75
1,1,3.2,4,1
1,1,1.2,3.9,1
1,1,2,3.2,1.25
0,1,1.2,3.5,2
0,1,2.4,4,1
0,1,1.8,4,1
1,1,1,3.5,2.25
0,1,2.8,3.3,1.25
0,1,1.8,4,1.5
0,1,3.2,3,2.5
1,1,2.2,3.8,1
1,1,2.4,3.7,2.25
1,1,2.2,3.7,1.75
1,1,1.8,4,1.75
0,1,2.4,4,1
1,1,2.4,3.4,1.75
0,1,1,2.8,1.25
0,1,1.2,3.9,1
1,1,2,3.8,1
0,1,1.6,3.9,2.75
1,1,2,3.7,1.75
1,1,2.4,3.1,1
0,1,1,3.3,1.75
0,1,2.4,4,1.25
0,1,2.4,3.2,1.5
1,1,2.6,3.3,1.5
1,1,2.8,3.2,2.5
0,1,1.6,3.6,1.75
1,1,2.2,3.8,2.75
0,1,2.6,2.7,1.5
1,1,1.6,3.8,2
1,1,1.8,3.1,2
0,1,2.2,3.8,1
0,1,2,3.5,2
1,1,2,1.8,1.75
1,1,1.4,4,1
1,1,2,1.9,2
0,1,2.2,2.2,2.5
1,1,NA,3.7,1.25
0,1,2.2,3.7,1
1,1,2.8,3.6,1.5
1,1,2,3.6,3
0,1,1.8,3.5,1.75
0,1,2,3.6,1
1,1,2,2.9,3
1,1,1.8,3.6,2.25
1,1,1.4,3.4,2
1,1,2,2.8,1.75
1,1,2.4,4,1
1,1,1.8,2.1,3
1,1,1.4,3.3,1.5
1,1,1.2,3.8,1
1,1,1.4,2.7,4
0,1,NA,4,1
1,1,1.8,3.5,2.5
1,1,1.4,2.3,2.5
0,1,1.8,3.6,1
1,1,1.2,3.1,2.25
0,1,1.4,3.1,1.75
1,1,2,3.3,2.25
1,1,2.2,3.5,2
1,1,1.4,3.2,2.25
0,1,2.2,3.6,1.75
1,1,2.2,4,1.25
0,1,2.2,3.7,1.25
1,1,1.4,4,1.75
1,1,2.2,4,1
1,1,1.6,3.8,1.25
0,1,2,NA,2
1,1,1.8,3.2,2
1,1,2,3.9,1.75
1,1,2,3.1,1
1,1,1.6,4,2
1,1,1.8,3.6,1.25
1,1,2,3.1,2.5
1,1,1.6,3.9,1.5
1,1,2.2,3.9,1.25
0,1,1.4,NA,NA
1,1,1.8,3.3,1.5
1,1,2.2,4,1
1,1,2.4,3.9,1.5
1,1,2.4,4,1.75
1,1,1.8,3.6,1.75
1,1,3.2,3.1,2
0,1,1,4,1
1,1,1.6,3.9,1.75
1,1,2.2,3.7,1.5
0,1,2.8,4,1
1,1,2,3.9,1.5
0,1,1.4,3,1.25
1,1,3.6,3.7,1
1,1,2.4,4,2
1,1,2.2,3.8,1.25
0,1,2.4,3.5,1.5
0,1,2,3.3,2
0,1,1.8,3.1,2.25
1,1,1.6,2.8,1.5
0,1,2,2.5,2.5
1,1,2.8,3.6,1
1,1,1.2,3.4,2
0,1,2,3.8,2.75
1,1,2.2,2.4,3
1,1,1.6,3.9,1
1,1,2.4,2.4,2.75
1,1,1.2,4,1.25
0,1,2.6,3.5,1
0,1,2.4,3.7,1.25
1,1,1.6,3.4,2.25
1,1,2.4,3.5,1.25
0,1,2.2,2.7,1.5
0,1,2.2,4,1.75
1,1,2,2.9,1.75
1,1,2.4,3.7,1.5
0,1,1.8,2.8,2
0,1,1.4,4,1.25
0,1,2.6,3.4,1.5
1,1,2.2,3.1,2
1,1,2.6,3,1.5
1,1,2.6,3.3,1
1,1,2.2,3.6,1.75
0,1,2,3.7,1
1,1,1.4,4,1
1,1,1.8,4,1.5
1,1,2,2.5,2
0,1,3.2,3.3,1.25
1,1,2.6,4,1.5
1,1,3.4,4,1.75
0,1,1.2,4,1.75
1,1,1.6,4,1
1,1,1.6,2.8,2
1,1,2.2,3.8,1
0,1,2,2.9,1.75
1,1,1.6,3.9,1.5
0,1,2.6,3.7,1.75
0,1,2,3.6,1
1,1,1.8,3.5,1
0,1,2.6,3.5,1.5
0,1,2,3.3,1.5
0,1,2,3.8,1.25
1,1,2.4,4,2
1,1,1.4,2.5,2.25
0,1,2.4,3.56,1.25
1,1,1.6,3.9,1.5
0,1,1.8,3.5,1.25
0,1,2.2,3.1,2
1,1,2.2,3.4,1.75
1,1,2.2,2.4,2
1,1,1.8,2.8,2.25
1,1,1.8,3.8,1.5
0,1,2.8,4,1.25
1,1,2,3.3,1.75
1,1,2.4,2.6,2.25
1,1,2.2,3.4,1.25
1,1,1.8,3.5,2
1,1,1.4,3.6,2.5
1,1,1,3.4,2
0,1,1.4,3.1,1.25
1,1,2,2.4,3
1,1,1.8,2.89,3.25
1,1,1.6,3.6,1
0,1,NA,3.3,3
0,1,1.8,3.4,2
1,1,2,3,2
1,1,3,3.8,2
1,1,2.2,2.5,1.25
1,1,3,3.7,1
1,1,1,4,1
1,1,1.6,3.7,2.75
0,1,1.6,3.9,1
0,1,2,3.4,3
1,1,2.4,3.1,1.75
1,1,2.6,2.7,1.75
0,1,1.6,3.5,1.25
1,1,1.2,2.7,3.25
0,1,3,4,1
0,1,1.6,3.1,2
0,1,2.8,3.9,1
1,1,2.2,2.1,1.75
0,1,2.6,3.3,2
1,1,2.6,2.9,1.25
1,1,2.8,2.3,1.25
1,1,2.6,3,1.5
1,1,2.8,3.7,1
0,1,1.4,3.7,1
1,1,1.8,2.9,3.67
1,1,2,3.3,1.75
1,1,2.6,2.8,4
1,1,2.4,3.9,1.75
1,1,1.4,3.7,1.5
0,1,1.8,3.4,1.75
0,1,2.6,2.9,1.5
1,1,1.8,3.7,1.75
1,1,2,4,2
0,1,1.6,2.8,3.25
1,1,1.4,3.1,2.5
0,1,1.6,3.1,2.25
0,1,1.8,1.4,2
0,1,2.6,4,1.5
1,1,1.6,3.9,2.25
1,1,NA,NA,1.25
1,1,1.8,4,1.25
0,1,2.2,3.7,1
0,1,2.2,3.9,1
0,1,1.8,3.1,2.75
0,1,2,3.4,1
1,1,2.2,3.8,1
0,1,1.4,3.8,NA
1,1,2.8,3,2.5
0,1,2.8,2.9,2
1,1,1.4,3.7,1.5
1,1,1.4,2.9,3.25
1,1,2.2,4,1.5
1,1,2.2,4,2
1,1,2.6,3.9,1.25
0,1,2.8,4,1
0,1,1.6,3.1,2
1,1,2,3.8,1.5
0,1,2.6,3.4,1
0,1,1.4,3.7,1.5
1,1,2.6,3.7,1.75
0,1,2.4,4,1.25
1,1,1.8,4,1
0,1,1.4,3.8,2.75
1,1,1.6,3.3,2.25
0,1,2,3.6,1.25
1,1,1.8,3.9,1
1,1,1.8,3.6,1.75
0,1,1.6,3.7,2.25
1,1,1.2,2.4,3
1,1,1.6,3.7,3
0,1,2.2,3.8,2
0,1,1.8,2.6,2.5
0,1,1.8,2.7,1.75
0,1,2,4,1.25
1,1,3,4,1.5
0,1,2.4,3.8,1
0,1,3,3.5,2.5
1,1,1.4,3.8,2.25
0,1,1.2,3.6,1
0,1,1.6,3.8,1.25
1,1,1.2,3.8,1
1,1,1.8,3,2
0,1,2.4,3.6,1.5
1,1,2.2,3.3,2
1,1,2.4,3.8,1
1,1,2.4,3.7,3
0,1,2.2,2.9,2.75
1,1,2.8,2.6,1.5
0,1,1.4,3.7,1
1,1,1.8,3.8,2
0,1,1.4,4,1.5
1,1,1.2,3.7,2
1,1,1.6,3.3,1.5
1,1,1.6,3.8,1.75
0,1,1.8,3.6,1.25
1,1,2.8,3.2,1
1,1,2.8,3.9,1.75
1,1,1,1,3.25
1,1,3.4,4,1.5
1,1,1.8,4,2
0,1,2.6,1.8,3
0,1,1.8,3.4,1.75
0,1,1.6,4,1.25
1,1,2.8,3.1,1.25
1,1,2.6,2.5,1
1,1,2.4,4,1.5
1,1,1.8,3.6,1.25
1,1,1.6,3.2,1.75
0,1,2,3.5,1.75
1,1,2.4,4,1
1,1,1.2,3.8,1
1,1,3.6,4,1.5
1,1,2.6,4,1.25
0,1,2.4,2.3,1.5
0,1,2.2,3.3,1
1,1,2,2.7,2.5
1,1,2.4,3.11,3.25
0,1,1.6,3.3,2
0,1,2,4,1.5
0,1,2,4,1.5
1,1,1.4,3.2,1.5
1,1,1.8,3.1,1.75
1,1,2,4,1.5
0,1,1.6,2.9,2.25
1,1,2.2,3.6,1
1,1,1.8,2.2,2.25
0,1,1.8,3.1,1.25
0,1,2.2,3.3,2
0,1,2.6,3.4,1.25
1,1,1.6,4,1.25
1,1,2.8,4,4
0,1,2.6,4,1.75
1,1,1.8,4,1.25
0,1,2.4,3.9,1
1,1,1.6,3.8,2
0,1,2,3,1.5
1,1,1.6,2.8,3.75
1,1,2.4,3.2,1.75
0,1,1.6,3.7,1
0,1,2.8,3.8,1.25
0,1,1.8,3.9,1
1,1,1.6,3.5,1
1,1,2.6,3.7,1.25
0,1,1.8,4,1
1,1,2.2,3.3,1.25
1,1,2.4,3.4,3
0,1,1.2,3.7,2
1,1,2.4,3,2.5
1,1,2.6,3.4,1.5
1,1,2,2.8,2.25
1,1,1.6,3.4,1.75
1,1,2,3.9,1.5
1,1,2.8,4,1.25
1,1,2,3.8,1.75
1,1,2.2,2.8,1.75
0,1,2.4,3.3,2.25
1,1,2.2,2.5,2
1,1,2.2,2.6,1.25
0,1,2,4,1.5
0,1,2,3.3,1
1,1,2,3,1.5
0,1,2.2,3.1,1.75
0,1,2.4,3.3,1
0,1,2.8,3.9,1
0,1,1.8,2.2,3
0,1,1.8,3.9,1
0,1,2.2,3.7,1.25
0,1,2.4,3.4,1.25
1,1,2.2,3,1
1,1,1.4,2.3,2.75
1,1,1.8,3.6,1.25
0,1,1.6,3.8,1
0,1,2.8,2.6,2.25
1,1,2.6,3.7,1.5
0,1,2.2,3.4,1.25
0,1,2.4,3.8,1
0,1,2.8,4,1.25
1,1,2,4,1.25
0,1,1.8,3.5,1
0,1,1.8,3.7,1.5
0,1,2,3.9,1
1,1,2,3.3,1.75
0,1,2.2,2.9,1.5
1,1,2,2.9,3.25
0,1,2,4,1.75
0,1,1,3.7,1
0,1,1.6,2.9,3.25
1,1,1.6,3.6,1.5
1,1,1.2,3.9,1.5
0,1,2.6,3,1.75
0,1,1,3.6,1.25
1,1,1.6,4,1.75
1,1,1.6,3.1,1.75
0,1,2.6,3,3
1,1,2,4,1
0,1,2.2,3.7,1.75
0,1,1,3.7,2.5
0,1,1.6,3.7,1.25
0,1,3,3.3,1
1,1,2.4,3.7,1.25
1,1,2.2,3.1,2
1,1,2.2,3.1,1.5
0,1,3,3.4,1
1,1,1.6,3.2,2
0,1,2.4,3.6,1.5
1,1,1.6,3.3,1.25
1,1,1.6,3.6,2.75
1,1,2.4,3.2,1.75
1,1,NA,3.7,1.5
0,1,2,3.4,1.25
0,1,1.4,4,1.75
1,1,3,2.8,1.25
1,1,2.2,3.7,1.25
1,1,2.4,2.8,2
0,1,2.2,2.8,2
1,1,2.6,2.3,2.5
1,1,2.4,3.1,1.75
1,1,2,2.9,1.75
1,1,2,3.8,1
1,1,2.2,2.9,2.25
1,1,1.4,2.7,2.5
0,1,2,3.1,1.75
0,1,1.6,2.5,1.75
1,1,2.2,3.4,1.75
0,1,2.2,4,2
1,1,1.6,3.1,1.25
0,1,1.2,3.9,1
1,1,1.6,4,1.25
0,1,1.8,3.6,2.5
1,1,1.8,2.5,3.25
1,1,2.8,3,2
1,1,2.2,2.9,2.75
0,1,2.2,3,2.75
0,1,1.4,4,1
1,1,3.2,2.7,1.5
1,1,1.6,3.8,1.25
0,1,2.2,3.4,1
0,1,1.4,2.8,1.5
0,1,1.8,3,2
1,1,2.8,3.5,1.25
0,1,1.2,4,1
1,1,1.6,2.5,2
1,1,1.8,2.5,2.75
0,1,1.6,3.4,2
0,1,2.2,2.9,1.75
0,1,1.2,4,1
0,1,2,2.9,1.75
1,1,2.6,3.11,2.25
0,1,2,4,1.25
1,1,2.6,3.1,1.75
1,1,2.2,3.3,1.75
1,1,1.8,3.6,2
1,1,1.2,4,1.75
1,1,2.4,3.3,1.75
0,1,1.8,3.5,4
1,1,2.6,3.8,2
1,1,1.6,4,1.25
1,1,3,NA,NA
0,1,2.2,3,1.5
1,1,2.2,3.1,2
1,1,1.8,2.4,2
0,1,1.6,4,1.25
1,1,1.4,3.8,2.5
0,1,2,3.4,1
1,1,1.8,3.8,3.75
1,1,NA,3.1,2.5
1,1,1.4,2.9,1
0,1,1.8,3.1,1.75
1,1,1.8,4,1
1,1,1.2,3.9,2.25
1,1,1.8,3.6,2
1,1,2.6,3.4,1.75
0,1,1.8,3.5,1.75
0,1,2,2.3,1.5
0,1,2.8,3,1.75
1,1,2.8,3.3,1.25
1,1,1.8,4,1.25
1,1,2,4,1.25
1,1,1.6,3.4,1.5
0,1,1.8,2.7,1.75
1,1,2.4,4,1.5
0,1,2,2.5,1.5
1,1,1.8,3.3,1.25
0,1,2,3,1.5
0,1,1.8,4,1.25
0,1,2,4,1
0,1,2.6,2.5,1
0,1,2,2.2,2.75
1,1,1.2,4,1.5
1,1,2.6,3.7,1.25
1,1,2.2,3.4,2
0,1,2.4,4,1
0,1,2,3.2,1
1,1,2.6,4,1.5
1,1,1.8,3.8,1.25
0,1,2.2,4,1.25
1,1,1.6,3.6,2
0,1,2.6,3.8,1
0,1,2.2,3.6,1
0,1,1,3.9,1
1,1,2,3.3,2.5
1,1,2.6,3.22,2.5
1,1,1.2,3.2,3.5
1,1,3.6,3.6,1.75
0,1,2.2,3.7,1
0,1,2,2.5,2.25
1,1,2.8,3.6,1.75
1,1,2.2,3.8,1.75
1,1,1.6,2.3,2.5
1,1,2.6,4,1.25
