sex_f,birthregion_us,dep1,se1,sra
1,1,2.25,3,8
0,1,1,3,NA
1,1,1,3.6,44
1,1,1,3.78,31
0,1,3.25,3,62
1,1,1.5,3.4,67
1,1,1.5,3.3,44
1,1,1.5,3.2,NA
1,1,1,4,NA
0,1,1,3,NA
0,1,3.25,2.6,87
1,1,1.5,3.9,NA
0,1,1.25,3.7,51
1,1,1,3.7,40
0,1,1,3.9,60
0,1,1.5,4,73
1,1,2,3.7,70
0,1,1,3.7,NA
0,1,1.25,2.8,22
1,1,1,4,44
0,1,1.5,3.4,38
0,1,1,3.9,87
0,1,2.5,3.3,82
0,1,2.25,2.9,NA
1,1,1.25,3.1,8
0,1,1,4,83
0,1,1.25,4,84
0,1,1,4,67
1,1,1.75,3.2,62
1,1,1,3.6,49
1,1,3,3.8,88
0,1,1.25,4,NA
0,1,1.25,3.7,87
0,1,1.5,2.6,8
0,1,1,3,32
0,1,1.25,3.8,89
0,1,1.25,4,63
1,1,1,3.8,61
1,1,1,3.7,18
1,1,1.75,2.5,62
0,1,1.25,3.1,76
0,1,1.5,3.5,NA
0,1,1,3.8,25
1,1,1.25,4,62
0,1,NA,3.6,NA
0,1,1,3.7,NA
0,1,3,2.4,29
1,1,1,3,4
1,1,1,3.6,34
1,1,NA,NA,37
1,1,1.5,4,82
0,1,1,3.5,40
1,1,2,2.5,79
0,1,1.5,3.3,46
0,1,1.25,3.9,32
1,1,1.75,3.1,49
0,1,2.75,4,NA
1,1,1.5,3.4,35
1,1,2,3.9,22
0,1,1.5,4,70
0,1,1.25,3.8,43
0,1,1.5,3.7,5
1,1,1.5,3,NA
1,1,2.25,2.4,49
0,1,1,4,24
1,1,1.5,3,53
0,1,1,NA,31
1,1,1,3.3,10
1,1,1,3.7,54
0,1,1,3.1,37
0,1,1,4,22
1,1,2,2.33,20
1,1,1.25,3.8,66
1,1,2,2.7,46
0,1,1,3.9,NA
1,1,1,3.2,18
0,1,1,3.56,29
1,1,1,4,59
1,1,3.5,2.1,83
0,1,1,3,41
0,1,1.75,3.6,82
1,1,2.5,3,73
1,1,1.25,3.8,NA
1,1,1.75,3.8,59
1,1,1.5,2.4,57
1,1,1.25,3.2,76
1,1,3.25,2.3,80
1,1,1.5,3.3,54
1,1,1,4,99
1,1,3,2.8,18
0,1,1.25,3.9,86
1,1,2.75,3.4,68
1,1,2.5,2.8,64
0,1,1.25,3.7,50
1,1,1.5,3.7,25
0,1,2.25,2,29
1,1,3,3.5,37
1,1,1.5,3.1,84
1,1,2.5,2.2,63
0,1,1.25,4,59
1,1,1.25,4,84
0,1,1.5,4,97
1,1,1.25,4,86
1,1,1,3.2,NA
1,1,1.75,3.3,44
0,1,1.5,3.5,NA
1,1,3.25,3.2,37
1,1,1.25,3.3,8
1,1,2.25,3.3,47
1,1,2,3.9,27
1,1,1.5,4,45
1,1,3,2.3,29
1,1,2,3.6,91
1,1,1.25,3.8,69
0,1,1.25,4,73
1,1,1.25,3,16
1,1,1,4,41
1,1,1,3.8,42
1,1,1.25,4,87
1,1,1,3.4,71
1,1,2.5,2.4,58
0,1,2,4,92
1,1,1,4,76
1,1,1,3.9,NA
0,1,1.25,3.2,40
1,1,3.25,3.3,13
0,1,1.75,2.7,NA
1,1,1.5,3.3,64
1,1,2,3.8,0
1,1,1,3.8,40
0,1,2.25,2.9,94
0,1,1.5,3.2,97
0,1,1.75,3.6,10
1,1,2,3.3,11
0,1,1.5,2.8,NA
1,1,1.75,3.4,70
1,1,1.5,3.1,22
0,1,2.25,2.6,68
1,1,1.75,2.6,2
1,1,1.5,3.4,79
1,1,3,2.7,NA
1,1,1.75,3,NA
0,1,1,3.5,28
0,1,1.5,3.3,25
1,1,2.25,2.4,27
1,1,1.25,2.6,1
0,1,2.25,2.6,4
0,1,1.25,4,54
1,1,2.75,3.1,20
