caseid,sex,birthregion,mom_ed,friends1,sma,sra,gpa1,income3,jobscore3,jobsat3
9,Male,outside US,less.than.hs,44,43,62,1.33,1200,30,1
27,Male,outside US,College graduate or more,44,63,51,1,1400,49,3
28,Female,outside US,less.than.hs,22,73,40,2.83,2000,57,4
29,Male,outside US,High school graduate,3,92,60,3,2500,51,2
30,Male,outside US,Some college/university,40,46,73,2,140,41,3
32,Female,outside US,less.than.hs,40,97,70,3.33,1000,38,4
38,Female,outside US,Some college/university,3,77,44,3.17,500,39,4
42,Male,outside US,College graduate or more,48,56,87,2.42,1200,53,4
46,Female,outside US,Some college/university,8,28,8,2.83,2000,49,4
48,Male,outside US,Some college/university,14,19,83,1.75,2000,45,5
49,Male,outside US,less.than.hs,3,95,84,2.66,850,45,3
51,Male,outside US,Some college/university,13,89,67,1.86,260,51,4
52,Female,outside US,High school graduate,48,82,62,2.33,297,38,4
54,Female,outside US,less.than.hs,35,82,88,2.17,800,53,3
56,Male,outside US,High school graduate,22,86,87,2.92,2000,66,5
57,Male,outside US,less.than.hs,13,18,8,0.42,1200,20,3
58,Male,outside US,less.than.hs,30,57,32,2.33,500,53,4
61,Male,outside US,College graduate or more,3,69,63,3.33,1000,29,4
65,Female,outside US,High school graduate,8,89,62,3.67,2500,54,5
66,Male,outside US,less.than.hs,48,54,76,1.83,500,39,5
69,Female,outside US,Some college/university,8,77,62,2.92,2600,54,3
72,Male,outside US,less.than.hs,18,4,29,2.33,1900,39,4
74,Female,outside US,Some college/university,40,97,34,2.83,2200,66,4
75,Female,outside US,Some college/university,13,80,37,3.08,1250,49,3
85,Female,outside US,less.than.hs,3,80,82,2,2400,55,5
94,Female,outside US,College graduate or more,18,99,79,2.75,1680,42,4
105,Female,outside US,Some college/university,13,24,35,3.43,1200,38,3
106,Female,outside US,less.than.hs,30,3,22,2.33,1220,50,5
109,Male,outside US,College graduate or more,3,64,43,2.5,1500,53,4
113,Male,outside US,High school graduate,48,5,5,2.5,1250,20,4
118,Female,outside US,College graduate or more,18,19,53,1.58,1440,55,5
124,Female,outside US,High school graduate,8,15,10,1,1500,29,4
125,Female,outside US,Some college/university,44,15,54,2.5,1700,66,3
129,Male,outside US,College graduate or more,3,87,37,2.57,2000,26,3
133,Female,outside US,Some college/university,22,86,66,3.6,1000,37,5
135,Female,outside US,College graduate or more,30,85,46,3.33,400,64,4
139,Female,outside US,College graduate or more,48,67,18,3,900,32,5
141,Male,outside US,less.than.hs,3,57,29,2.43,1900,34,3
146,Female,outside US,High school graduate,48,89,83,2.17,1600,49,4
158,Female,outside US,College graduate or more,8,95,73,2.5,2500,55,5
165,Female,outside US,High school graduate,40,85,76,4,1500,23,4
167,Female,outside US,College graduate or more,40,42,54,1.94,2000,29,4
173,Female,outside US,High school graduate,44,91,99,3.2,1200,53,4
176,Female,outside US,College graduate or more,3,6,18,1.42,1500,38,3
179,Female,outside US,Some college/university,48,90,68,3.25,1500,49,4
185,Male,outside US,High school graduate,35,20,50,1.5,1600,42,3
203,Male,outside US,less.than.hs,18,1,29,2,1100,42,2
206,Female,outside US,less.than.hs,40,66,84,3.27,420,42,3
216,Female,outside US,less.than.hs,3,60,44,1.75,400,78,5
219,Female,outside US,High school graduate,35,74,37,2.67,1300,50,4
223,Female,outside US,Some college/university,3,18,8,2.5,1200,32,1
227,Female,outside US,less.than.hs,35,80,47,2.25,1300,34,4
228,Female,outside US,less.than.hs,40,36,27,2.36,2400,33,4
230,Female,outside US,less.than.hs,30,11,45,3,500,38,2
231,Female,outside US,less.than.hs,30,33,29,1.33,1500,50,2
232,Female,outside US,High school graduate,40,77,91,3.64,2550,58,3
236,Female,outside US,Some college/university,3,61,69,3.07,1291,29,3
238,Female,outside US,College graduate or more,48,40,16,2.33,1800,53,4
240,Female,outside US,Some college/university,35,21,41,2.67,600,23,4
244,Female,outside US,less.than.hs,30,56,71,2.91,2000,39,5
245,Female,outside US,College graduate or more,3,93,58,3.9,2000,68,3
249,Male,outside US,High school graduate,1,59,40,1.67,1800,32,4
250,Female,outside US,High school graduate,48,18,13,0.58,1400,38,3
256,Female,outside US,High school graduate,3,54,40,2.08,1500,42,3
257,Male,outside US,College graduate or more,35,93,94,3.07,2200,42,3
258,Male,outside US,College graduate or more,35,99,97,4,1300,53,4
259,Male,outside US,College graduate or more,36,94,10,2.4,800,22,2
279,Female,outside US,High school graduate,30,64,79,2.4,1650,34,5
285,Male,outside US,College graduate or more,3,34,28,2.5,850,48,4
299,Female,outside US,High school graduate,3,21,20,2.33,2000,34,4
307,Male,outside US,less.than.hs,40,47,61,1.9,620,42,2
310,Male,outside US,High school graduate,3,9,10,1.92,2500,36,5
311,Male,outside US,less.than.hs,49,36,17,3,1600,38,3
312,Female,outside US,High school graduate,30,61,44,1.92,1440,55,3
313,Female,outside US,College graduate or more,30,21,35,2.25,1000,42,4
319,Female,outside US,College graduate or more,35,37,54,2.9,1500,37,5
322,Male,outside US,less.than.hs,40,63,20,1.17,2300,39,5
335,Female,outside US,High school graduate,22,88,37,2.33,1500,53,4
340,Male,outside US,Some college/university,8,73,67,2.83,2500,42,3
342,Female,outside US,Some college/university,40,86,90,3.5,1640,72,4
343,Female,outside US,High school graduate,35,91,68,3.83,2500,44,2
347,Male,outside US,High school graduate,35,5,3,2.3,2000,28,4
349,Female,outside US,High school graduate,8,23,13,0.83,1200,34,4
360,Female,outside US,College graduate or more,3,65,39,3.25,800,60,5
361,Female,outside US,less.than.hs,14,68,34,3.17,1000,49,5
366,Male,outside US,High school graduate,48,77,84,2.5,2000,55,4
368,Female,outside US,less.than.hs,35,53,24,2.33,1400,48,4
386,Female,outside US,Some college/university,23,83,35,3.67,400,38,5
387,Female,outside US,High school graduate,30,17,35,2.43,980,45,2
397,Female,outside US,less.than.hs,22,21,20,2.2,1000,56,5
398,Female,outside US,College graduate or more,9,54,5,1.92,1000,49,5
403,Male,outside US,College graduate or more,32,33,24,0.67,865,39,3
409,Female,outside US,less.than.hs,2,53,49,2,1400,56,4
413,Female,outside US,Some college/university,40,28,29,1.83,2000,34,5
414,Female,outside US,High school graduate,18,1,49,1.25,350,20,4
416,Male,outside US,High school graduate,30,83,91,3.14,2200,53,4
417,Female,outside US,less.than.hs,3,18,22,2,1200,38,3
420,Female,outside US,College graduate or more,30,70,49,3.5,2500,42,4
424,Female,outside US,High school graduate,18,90,57,3.55,1600,31,4
425,Male,outside US,High school graduate,13,1,41,2.2,750,34,1
433,Female,outside US,Some college/university,18,88,79,2.42,2200,54,5
434,Female,outside US,Some college/university,2,80,24,3.17,1400,60,5
451,Female,outside US,College graduate or more,48,99,98,4,1500,42,4
453,Male,outside US,less.than.hs,40,86,96,3.64,1800,37,4
454,Female,outside US,College graduate or more,13,57,5,2.5,980,42,5
462,Female,outside US,College graduate or more,40,91,82,3.43,1740,62,5
469,Female,outside US,Some college/university,8,25,54,3.67,860,51,4
477,Male,outside US,High school graduate,40,29,31,3.7,900,32,3
484,Male,outside US,College graduate or more,6,61,49,1.73,1000,34,3
492,Female,outside US,College graduate or more,3,89,81,3.36,200,26,1
493,Female,outside US,College graduate or more,22,77,64,2.83,700,55,4
501,Male,outside US,less.than.hs,22,67,43,3.58,350,23,3
515,Female,outside US,High school graduate,44,83,37,3.33,1800,34,4
519,Female,outside US,College graduate or more,30,66,67,2.83,2400,54,4
522,Female,outside US,High school graduate,40,92,79,3.58,360,42,4
526,Female,outside US,Some college/university,35,61,84,3.75,2500,42,2
533,Male,outside US,Some college/university,22,99,62,3.33,1200,26,5
543,Male,outside US,Some college/university,30,88,63,3.2,2000,39,4
545,Female,outside US,High school graduate,3,77,61,2.83,2200,60,5
560,Male,outside US,College graduate or more,30,37,70,1.8,350,34,4
565,Male,outside US,High school graduate,44,88,57,3,2600,44,4
566,Male,outside US,less.than.hs,3,56,13,3.5,2000,21,4
567,Female,outside US,less.than.hs,22,64,54,2.75,1003,53,4
572,Female,outside US,less.than.hs,3,1,49,2.3,1000,50,3
573,Female,outside US,Some college/university,30,86,94,4,300,31,3
574,Male,outside US,Some college/university,10,86,87,3,2000,46,5
